"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2005","3011487",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2006","2992547",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2007","2970017",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2008","2947314",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2009","2927519",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2010","2913021",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2011","2905195",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2012","2900401",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2013","2895092",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2014","2889104",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2015","2880703",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2016","2876101",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2017","2873457",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2018","2866376",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2019","2854191",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2020","2837849",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2021","2811666",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2022","..",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2023","..",
"25","Total population, pers.","Total population","Persons","008","ALB","Albania","2024","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2005","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2006","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2007","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2008","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2009","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2010","70290",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2011","69772",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2012","69758",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2013","69966",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2014","70570",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2015","71732",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2016","73105",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2017","74794",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2018","76177",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2019","77543",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2020","78015",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2021","79535",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2022","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2023","..",
"25","Total population, pers.","Total population","Persons","020","AND","Andorra","2024","..",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2005","3146412",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2006","3127109",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2007","3107396",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2008","3087119",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2009","3066045",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2010","3044868",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2011","3027938",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2012","3024127",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2013","3021979",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2014","3013839",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2015","3004588",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2016","2992364",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2017","2979442",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2018","2969001",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2019","2962482",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2020","2961473",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2021","2962309",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2022","..",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2023","..",
"25","Total population, pers.","Total population","Persons","051","ARM","Armenia","2024","..",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2005","8227829",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2006","8268641",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2007","8295487",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2008","8321496",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2009","8343323",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2010","8363404",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2011","8391643",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2012","8429991",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2013","8479823",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2014","8546356",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2015","8642699",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2016","8736668",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2017","8797566",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2018","8840521",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2019","8879920",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2020","8916864",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2021","8955797",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2022","9041851",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2023","9131761",
"25","Total population, pers.","Total population","Persons","040","AUT","Austria","2024","9177982",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2005","8500251",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2006","8609615",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2007","8723023",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2008","8838511",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2009","8947314",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2010","9054332",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2011","9173082",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2012","9295784",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2013","9416801",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2014","9535079",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2015","9649341",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2016","9757812",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2017","9854033",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2018","9939771",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2019","9931226",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2020","10000064",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2021","10044693",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2022","..",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2023","..",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2024","..",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2005","9663915",
